NYISO, Date , Low , Average , High , AvgChg 
SPP, Date , Low , Average , High , AvgChg 
SPP SOUTH HUB RTBM LMP [Off Peak],8-Oct,-23.77,16.53,83.67,-6.76
SPP NORTH HUB RTBM LMP [Off Peak],8-Oct,-28.82,10.96,87.04,-15.27
SPP SOUTH HUB Day Ahead LMP [Peak HE7-HE22],9-Oct,24.77,41.77,54.68,9.81
SPP SOUTH HUB Day Ahead LMP [Off Peak],9-Oct,18.39,21.68,25.06,14.57
SPP NORTH HUB Day Ahead LMP [Peak HE7-HE22],9-Oct,24.88,44.17,62.23,21.53
SPP NORTH HUB Day Ahead LMP [Off Peak],9-Oct,17.02,20.52,26.04,21.54
CAISO, Date , Low , Average , High , AvgChg 
RTM Energy Component [Off Peak],8-Oct,20.31,49.63,102.53,-6.32
NP15_GEN-APND RTM [Off Peak],8-Oct,20.95,48.33,87.64,-8.49
SP15_GEN-APND RTM [Off Peak],8-Oct,13.41,46.84,98.69,-4.04
ZP26_GEN-APND RTM [Off Peak],8-Oct,19.87,47.06,89.31,-3.26
DAM Energy Component [Peak HE7-HE22],9-Oct,36.93,58.04,92.85,-5.63
DAM Energy Component [Off Peak],9-Oct,53.18,57.94,62.57,-3.82
NP15_GEN-APND DAM [Peak HE7-HE22],9-Oct,46.48,59.1,85.22,-5.84
NP15_GEN-APND DAM [Off Peak],9-Oct,51.75,56.15,60.26,-3.47
SP15_GEN-APND DAM [Peak HE7-HE22],9-Oct,21.1,50.38,91.81,-6.01
SP15_GEN-APND DAM [Off Peak],9-Oct,51.8,56.29,60.33,-3.8
ZP26_GEN-APND DAM [Peak HE7-HE22],9-Oct,27.93,53.44,86.64,-2.82
ZP26_GEN-APND DAM [Off Peak],9-Oct,51,55.47,59.63,-3.76
IESO ($CAD) EPT, Date , Low , Average , High , AvgChg 
HOEP Price [Off Peak],8-Oct,0,4.14,16.23,-21.3
Day Ahead PreDispatch,9-Oct,0,17.1,40.8,-6.25
NYSI - UnCnstr ENGY,8-Oct,0,4.14,36.69,-21.3
MISI- UnCnstr ENGY,8-Oct,0,17.5,51.85,-8.67
MNSI - UnCnstr ENGY,8-Oct,0,30.73,112.5,-11.6
AESO Alberta ($CAD), Date , Low , Average , High , AvgChg 
Hourly Actual,8-Oct,24.34,37.87,55.59,-77.86
Hourly Actual [Off Peak],8-Oct,24.34,37.87,55.59,-77.86
